iter	MAPE	RMSE	R2	MAE
0	0.06055681741	1.021310645	0.05820434139	0.8131803711
1	0.05871864251	0.9920672542	0.1113654459	0.7884043456
2	0.05694856262	0.963964566	0.1609977855	0.7644476724
3	0.05526714897	0.937004295	0.2072721243	0.74172282
4	0.05362235719	0.9111785687	0.250368272	0.7194642382
5	0.05207575236	0.8863784214	0.2906193851	0.6986003581
6	0.05062789572	0.8628734712	0.3277432049	0.6790537508
7	0.04919225427	0.8400820229	0.3627874079	0.6597213138
8	0.047824181	0.8185742741	0.3949975265	0.6412266437
9	0.04650634149	0.7977989568	0.4253176023	0.6234101294
10	0.04527432895	0.7780737511	0.4533838039	0.6067631676
11	0.04405635331	0.759079426	0.4797460241	0.5903499525
12	0.04292411877	0.7413240049	0.5037996189	0.5750589991
13	0.04179729376	0.7238611333	0.5269015951	0.5599134945
14	0.04077195783	0.7075192091	0.5480218525	0.546048497
15	0.03975031331	0.6916881806	0.5680219535	0.5322975973
16	0.03881058923	0.6771073782	0.5860422104	0.5196047241
17	0.03789776917	0.6624643845	0.6037529553	0.5072968778
18	0.03702193231	0.648882709	0.6198339154	0.4954641114
19	0.03619080299	0.6359311747	0.6348584977	0.484232593
20	0.03540308862	0.6237026013	0.6487663817	0.4735712353
21	0.03466070579	0.6119029277	0.6619304706	0.4635405662
22	0.03389851656	0.6001990431	0.6747393209	0.4532883024
23	0.03318062176	0.5894847547	0.6862482747	0.4435657752
24	0.03251165314	0.579029983	0.6972786355	0.4344862213
25	0.03189178728	0.5693174618	0.7073490247	0.4261163437
26	0.03130039267	0.5599357715	0.7169146508	0.4181238859
27	0.03072016076	0.5507890784	0.7260876544	0.4102611215
28	0.0301730993	0.5425578823	0.7342133756	0.4028546348
29	0.02965839488	0.5342433458	0.7422971568	0.3958876114
30	0.02917341365	0.5263104627	0.7498935027	0.3893456296
31	0.02867761898	0.5186935079	0.7570803809	0.3826777378
32	0.02821621643	0.5115909874	0.7636874771	0.3765065478
33	0.02778261166	0.5047466202	0.769968238	0.3706554279
34	0.02735326213	0.4979908125	0.7760847731	0.3648569264
35	0.02694659946	0.4916784506	0.7817253424	0.3593742519
36	0.02659029994	0.4859301097	0.7867993192	0.3545329915
37	0.02621833825	0.4800039794	0.7919677613	0.349547254
38	0.02588455117	0.4749351513	0.7963381919	0.3450251944
39	0.02557122732	0.469825242	0.8006970811	0.3407950678
40	0.02527035625	0.4649255266	0.8048323872	0.3367794168
41	0.02497102176	0.4601334318	0.8088349281	0.3327404679
42	0.02468349615	0.4552145836	0.8129002097	0.3288477518
43	0.02441653455	0.4509851472	0.8163607777	0.3252371876
44	0.02416796734	0.4468868104	0.8196832626	0.3218356932
45	0.02390347754	0.442692817	0.8230518944	0.3182944717
46	0.02366560221	0.4388038387	0.8261471545	0.3150935589
47	0.02343956223	0.4350356782	0.8291202033	0.3120580775
48	0.02323821832	0.43149574	0.8318898283	0.3094072794
49	0.02303273129	0.4280605122	0.8345558937	0.3066384168
50	0.0228367108	0.4246145417	0.8372088866	0.3039911464
51	0.02264889192	0.421223438	0.8397987045	0.3014464486
52	0.02247309754	0.4181298413	0.8421432003	0.2990764695
53	0.02232028058	0.4152582255	0.8443040003	0.2970897165
54	0.02215333174	0.4119861477	0.8467479846	0.2947759994
55	0.02200559999	0.409326746	0.8487201056	0.2928052285
56	0.02187386047	0.4068921105	0.8505143497	0.2910036089
57	0.021739492	0.4040436512	0.8525999805	0.2891741987
58	0.02163748171	0.4019966084	0.8540897691	0.2878229319
59	0.02148682019	0.3994816519	0.8559097347	0.2858204986
60	0.02135959222	0.3970464714	0.8576610859	0.2840647447
61	0.02123379223	0.3947097149	0.8593315836	0.2824421075
62	0.02110894265	0.3923298254	0.861022781	0.2807673581
63	0.0210099389	0.3903919941	0.8623922884	0.2794952644
64	0.02089164048	0.3884180911	0.8637803168	0.2778998683
65	0.02080271459	0.3864485682	0.8651582526	0.2767113274
66	0.0206997269	0.3843902596	0.8665908198	0.2753325484
67	0.02059970184	0.3824400748	0.8679410756	0.2739957799
68	0.02050153559	0.3804175464	0.8693341653	0.2726582582
69	0.02041583487	0.3786376827	0.8705540003	0.271558279
70	0.02034856614	0.3771920824	0.8715405368	0.2706832425
71	0.02026515628	0.3754550899	0.8727209399	0.2695200117
